PDF_URL,TITLE,YEAR
https://assets.scriptslug.com/live/pdf/scripts/candyman-1992.pdf,candyman ,1992
https://assets.scriptslug.com/live/pdf/scripts/candyman-2021.pdf,candyman ,2021
https://assets.scriptslug.com/live/pdf/scripts/cape-fear-1962.pdf,cape fear ,1962
https://assets.scriptslug.com/live/pdf/scripts/capharnaum-2018.pdf,capharnaum ,2018
https://assets.scriptslug.com/live/pdf/scripts/capote-2005.pdf,capote ,2005
https://assets.scriptslug.com/live/pdf/scripts/captain-america-the-first-avenger-2011.pdf,captain america the first avenger ,2011
https://assets.scriptslug.com/live/pdf/scripts/captain-fantastic-2016.pdf,captain fantastic ,2016
https://assets.scriptslug.com/live/pdf/scripts/car-wash-1976.pdf,car wash ,1976
https://assets.scriptslug.com/live/pdf/scripts/carlitos-way-1993.pdf,carlitos way ,1993
https://assets.scriptslug.com/live/pdf/scripts/carnage-2011.pdf,carnage ,2011
https://assets.scriptslug.com/live/pdf/scripts/carol-2015.pdf,carol ,2015
https://assets.scriptslug.com/live/pdf/scripts/carrie-1976.pdf,carrie ,1976
https://assets.scriptslug.com/live/pdf/scripts/casablanca-1942.pdf,casablanca ,1942
https://assets.scriptslug.com/live/pdf/scripts/casino-1995.pdf,casino ,1995
https://assets.scriptslug.com/live/pdf/scripts/casino-royale-2006.pdf,casino royale ,2006
https://assets.scriptslug.com/live/pdf/scripts/casper-1995.pdf,casper ,1995
https://assets.scriptslug.com/live/pdf/scripts/cassandro-2023.pdf,cassandro ,2023
https://assets.scriptslug.com/live/pdf/scripts/cast-away-2000.pdf,cast away ,2000
https://assets.scriptslug.com/live/pdf/scripts/catch-me-if-you-can-2002.pdf,catch me if you can ,2002
https://assets.scriptslug.com/live/pdf/scripts/catherine-called-birdy-2022.pdf,catherine called birdy ,2022
https://assets.scriptslug.com/live/pdf/scripts/cb4-1993.pdf,cb4 ,1993
https://assets.scriptslug.com/live/pdf/scripts/chaplin-1992.pdf,chaplin ,1992
https://assets.scriptslug.com/live/pdf/scripts/chariots-of-fire-1981.pdf,chariots of fire ,1981
https://assets.scriptslug.com/live/pdf/scripts/charlie-and-the-chocolate-factory-2005.pdf,charlie and the chocolate factory ,2005
https://assets.scriptslug.com/live/pdf/scripts/charlie-bartlett-2007.pdf,charlie bartlett ,2007
https://assets.scriptslug.com/live/pdf/scripts/charlie-wilsons-war-2007.pdf,charlie wilsons war ,2007
https://assets.scriptslug.com/live/pdf/scripts/chasing-amy-1997.pdf,chasing amy ,1997
https://assets.scriptslug.com/live/pdf/scripts/chef-2015.pdf,chef ,2015
